Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
"Bernard Arnault & family",150,France,"luxury goods",3,72,"Paris, France",France,Married,5,"Bachelor of Arts/Science, Ecole Polytechnique de Paris",0
"Mukesh Ambani",84.5,India,diversified,10,64,"Mumbai, India",India,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",0
"Alice Walton",61.8,"United States","retail store",17,71,"Fort Worth, Texas","United States",Divorced,NULL,"Bachelor of Arts/Science, Trinity University",0
"Jim Walton",60.2,"United States","retail store",18,72,"Bentonville, Arkansas","United States",Married,4,"Bachelor of Arts/Science, University of Arkansas",0
"Rob Walton",59.5,"United States","retail store",19,76,"Bentonville, Arkansas","United States",Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",0
"MacKenzie Scott",53,"United States",e-commerce,22,51,"Seattle, Washington","United States",Married,4,"Bachelor of Arts/Science, Princeton University",0
"Charles Koch",46.4,"United States","oil & gas",27,85,"Wichita, Kansas","United States",Married,2,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",0
"David Thomson & family",41.8,Canada,media,33,63,"Toronto, Canada",Canada,Divorced,4,"Master of Arts, University of Cambridge",0
"Miriam Adelson",38.2,"United States",casinos,36,75,"Las Vegas, Nevada","United States",Widowed,5,"Bachelor of Science, Hebrew University Jerusalem",0
"Jacqueline Mars",31.3,"United States","candy, pet food",48,81,"The Plains, Virginia","United States",Divorced,3,"Bachelor of Arts/Science, Bryn Mawr College",0
"John Mars",31.3,"United States","candy, pet food",48,85,"Jackson, Wyoming","United States",Married,3,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University",0
"Yang Huiyan & family",29.6,China,"real estate",50,39,"Foshan, China",China,Married,NULL,"Bachelor of Arts/Science, Ohio State University",0
"Susanne Klatten",27.7,Germany,automobiles,53,59,"Bad Homburg, Germany",Germany,Married,3,"Master of Business Administration, International Institute for Management and Development",0
"Leonard Lauder",25.5,"United States","beauty products",64,88,"New York, New York","United States","Widowed, Remarried",2,"Bachelor of Arts/Science, University of Pennsylvania",0
"Rupert Murdoch & family",23.5,"United States","newspapers, TV network",71,90,"New York, New York","United States",Married,6,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University",0
"Stefan Quandt",21.6,Germany,automobiles,81,54,"Frankfurt, Germany",Germany,Married,1,"Associate in Arts/Science, Technical University of Karlsruhe",0
"Stefan Persson",21.3,Sweden,"fashion retail",84,73,"Stockholm, Sweden",Sweden,Married,3,"Associate in Arts/Science, University of Stockholm",0
"Abigail Johnson",20.9,"United States","money management",85,59,"Milton, Massachusetts","United States",Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",0
"Laurene Powell Jobs & family",19,"United States","technology telecom",95,57,"Palo Alto, California","United States",Widowed,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",0
"Peter Woo",18,"Hong Kong","real estate",104,74,"Hong Kong, Hong Kong","Hong Kong",Married,3,"Master of Business Administration, Columbia Business School",0
