Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
"Francoise Bettencourt Meyers & family",73.6,France,"beauty products",12,67,"Paris, France",France,Married,2,NULL,0
"Julia Koch & family",46.4,"United States","oil & gas",27,59,"New York, New York","United States",Widowed,3,NULL,0
"Beate Heister & Karl Albrecht Jr.",39.2,Germany,supermarkets,34,NULL,Germany,Germany,NULL,NULL,NULL,0
"Dieter Schwarz",36.9,Germany,retail,38,81,"Neckarsulm, Germany",Germany,Married,2,NULL,0
"Giovanni Ferrero",35.1,Italy,food,40,56,"Brussels, Belgium",Italy,Married,2,NULL,0
"Alain Wertheimer",34.5,France,"luxury goods",41,72,"New York, New York",France,Married,3,NULL,0
"Gerard Wertheimer",34.5,France,"luxury goods",41,70,"New York, New York",France,Married,2,NULL,0
"Klaus-Michael Kuehne",26.3,Germany,shipping,58,83,"Schindellegi, Switzerland",Germany,Married,NULL,NULL,0
"German Larrea Mota Velasco & family",25.9,Mexico,mining,61,67,"Mexico City, Mexico",Mexico,Married,NULL,NULL,0
"Gina Rinehart",23.6,Australia,mining,70,67,"Perth, Australia",Australia,Widowed,4,NULL,0
"Iris Fontbona & family",23.3,Chile,mining,74,78,"Santiago, Chile",Chile,Widowed,3,NULL,0
"R. Budi Hartono",20.5,Indonesia,"banking, tobacco",86,80,"Kudus, Indonesia",Indonesia,Married,3,NULL,0
"Michael Hartono",19.7,Indonesia,"banking, tobacco",89,81,"Kudus, Indonesia",Indonesia,Married,4,NULL,0
"Emmanuel Besnier",19.1,France,cheese,94,50,"Laval, France",France,NULL,NULL,NULL,0
"Theo Albrecht, Jr. & family",18.8,Germany,"retail store",98,70,"Mulheim an der Ruhr, Germany",Germany,NULL,1,NULL,0
"Dhanin Chearavanont",18.1,Thailand,diversified,103,82,"Bangkok, Thailand",Thailand,Married,5,NULL,0
"Lee Man Tat",17.4,"Hong Kong",food,111,91,"Hong Kong, Hong Kong","Hong Kong",Married,5,NULL,0
"Hinduja brothers",14.9,"United Kingdom",diversified,133,NULL,"London, United Kingdom","United Kingdom",NULL,NULL,NULL,0
"Georg Schaeffler",14.9,Germany,"auto parts",133,56,"Herzogenaurach, Germany",Germany,Divorced,4,NULL,0
"Kwong Siu-hing",14.7,"Hong Kong","real estate",138,91,"Hong Kong, Hong Kong","Hong Kong",Widowed,4,NULL,0
"Pallonji Mistry",14.6,Ireland,construction,140,91,"Mumbai, India",Ireland,Married,4,NULL,0
"Finn Rausing",13.9,Sweden,packaging,151,66,"London, United Kingdom",Sweden,NULL,NULL,NULL,0
"Jorn Rausing",13.9,Sweden,packaging,151,61,"Surrey, United Kingdom",Sweden,NULL,NULL,NULL,0
"Kirsten Rausing",13.9,Sweden,packaging,151,68,"Newmarket, United Kingdom",Sweden,NULL,NULL,NULL,0
"Robert & Philip Ng",13.3,Singapore,"real estate",158,NULL,"Singapore, Singapore",Singapore,NULL,NULL,NULL,0
"Anders Holch Povlsen",13.2,Denmark,"fashion retail",161,48,"Aarhus, Denmark",Denmark,Married,4,NULL,0
"Hank & Doug Meijer",12.6,"United States",supermarkets,171,NULL,"Grand Rapids, Michigan","United States",NULL,NULL,NULL,0
"Eyal Ofer",11.1,Israel,"real estate, shipping",197,70,"Monte Carlo, Monaco",Israel,Married,4,NULL,0
"Eric Wittouck",10,Belgium,investments,228,74,Monaco,Belgium,NULL,NULL,NULL,0
"Savitri Jindal & family",9.7,India,steel,234,71,"Hisar, India",India,Widowed,9,NULL,0
"Friedhelm Loh",9.7,Germany,manufacturing,234,74,"Haiger, Germany",Germany,Married,3,NULL,0
"Alberto Bailleres Gonzalez & family",9.2,Mexico,mining,255,89,"Mexico City, Mexico",Mexico,Married,4,NULL,0
