Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
"Amancio Ortega",77,Spain,"fashion retail",11,85,"La Coruna, Spain",Spain,Married,3,NULL,1
"Zhong Shanshan",68.9,China,"beverages, pharmaceutical",13,66,"Hangzhou, China",China,NULL,NULL,NULL,1
"Gautam Adani & family",50.5,India,"infrastructure, commodities",24,58,"Ahmedabad, India",India,Married,2,NULL,1
"Wang Wei",39,China,"package delivery",35,50,"Shenzhen, China",China,NULL,NULL,NULL,1
"He Xiangjian",37.7,China,"home appliances",37,78,"Foshan, China",China,Married,3,NULL,1
"Qin Yinglin & family",33.5,China,"pig breeding",44,56,"Nanyang, China",China,Married,NULL,NULL,1
"Lee Shau Kee",31.7,"Hong Kong","real estate",47,93,"Hong Kong, Hong Kong","Hong Kong",Divorced,5,NULL,1
"Pang Kang",26.4,China,"soy sauce",57,65,"Foshan, China",China,NULL,NULL,NULL,1
"Leonardo Del Vecchio & family",25.8,Italy,eyeglasses,62,85,"Milan, Italy",Italy,Married,6,NULL,1
"Takemitsu Takizaki",25.8,Japan,sensors,62,75,"Osaka, Japan",Japan,Married,NULL,NULL,1
"Zhang Yong",23,Singapore,restaurants,75,50,"Singapore, Singapore",Singapore,Married,NULL,NULL,1
"Goh Cheng Liang",21.7,Singapore,paints,80,93,"Singapore, Singapore",Singapore,Widowed,3,NULL,1
"Lui Che Woo & family",19.4,"Hong Kong",casinos/hotels,93,92,"Hong Kong, Hong Kong","Hong Kong",Married,5,NULL,1
"Fan Hongwei & family",18.2,China,petrochemicals,102,54,"Wujiang, China",China,Married,NULL,NULL,1
"James Ratcliffe",17,"United Kingdom",chemicals,113,68,"London, United Kingdom","United Kingdom",Married,NULL,NULL,1
"Reinhold Wuerth & family",16.8,Germany,fasteners,115,86,"Kuenzelsau, Germany",Germany,Married,3,NULL,1
"Radhakishan Damani",16.5,India,"retail, investments",117,66,"Mumbai, India",India,Married,3,NULL,1
"Zuo Hui",15.5,China,"real estate services",128,50,"Beijing, China",China,NULL,NULL,NULL,1
"Zhou Qunfei & family",15.4,"Hong Kong","smartphone screens",131,NULL,"Hong Kong, Hong Kong","Hong Kong",Married,NULL,NULL,1
"Cheng Yixiao",14.1,China,"video streaming app",148,37,"Beijing, China",China,NULL,NULL,NULL,1
"Joseph Lau",13.6,"Hong Kong","real estate",155,69,"Hong Kong, Hong Kong","Hong Kong",Divorced,6,NULL,1
"Charoen Sirivadhanabhakdi",13.5,Thailand,"alcohol, real estate",156,77,"Bangkok, Thailand",Thailand,Married,5,NULL,1
"Wang Wenyin",13.2,China,"mining, copper products",161,53,"Shenzhen, China",China,NULL,NULL,NULL,1
"Wang Liping & family",13.1,China,"hydraulic machinery",163,55,"Changzhou, China",China,Married,NULL,NULL,1
"Lu Zhongfang",12.5,China,education,173,78,"Tonghua, China",China,NULL,NULL,NULL,1
"Ma Jianrong & family",12.5,China,"textiles, apparel",173,57,"Ningbo, China",China,Married,NULL,NULL,1
"Zhang Tao",12.5,China,e-commerce,173,48,"Beijing, China",China,NULL,NULL,NULL,1
"Liu Yonghao & family",12.1,China,agribusiness,182,69,"Chengdu, China",China,Married,2,NULL,1
"Patrick Drahi",11.8,France,telecom,186,57,"Zermatt, Switzerland",France,Married,4,NULL,1
"Tom & Judy Love",10.8,"United States","retail & gas stations",205,NULL,"Oklahoma City, Oklahoma","United States",Married,4,NULL,1
"Wang Laisheng",10.8,China,"electronics components",205,56,"Shenzhen, China",China,NULL,NULL,NULL,1
"Gianluigi & Rafaela Aponte",10.7,Switzerland,Shipping,208,80,"Geneva, Switzerland",Switzerland,NULL,2,NULL,1
"Li Zhenguo & family",10.5,China,"solar wafers and modules",213,53,"Xi'an, China",China,Married,NULL,NULL,1
"John Fredriksen",10.4,Cyprus,shipping,216,76,"London, United Kingdom",Cyprus,Widowed,2,NULL,1
"Jay Chaudhry",10,"United States","security software",228,61,"Reno, Nevada","United States",Married,3,NULL,1
"Tobi Lutke",9.8,Canada,e-commerce,232,40,"Ottawa, Canada",Canada,Married,3,NULL,1
"James Dyson",9.7,"United Kingdom",vacuums,234,74,"Gloucestershire, United Kingdom","United Kingdom",Married,3,NULL,1
"Jim Pattison",9.6,Canada,diversified,241,92,"Vancouver, Canada",Canada,Married,3,NULL,1
"Yao Liangsong",9.6,China,furniture,241,56,"Guangzhou, China",China,NULL,NULL,NULL,1
"Yeung Kin-man",9.5,"Hong Kong",electronics,245,57,"Hong Kong, Hong Kong","Hong Kong",Married,NULL,NULL,1
"Ding Shijia",9.3,China,"sports apparel",251,57,"Quanzhou, China",China,Married,NULL,NULL,1
"Ian & Richard Livingstone",9.3,"United Kingdom","real estate",251,NULL,"London, United Kingdom","United Kingdom",NULL,NULL,NULL,1
"Lam Wai-ying",9.1,"Hong Kong","smartphone screens",256,NULL,"Hong Kong, Hong Kong","Hong Kong",Married,NULL,NULL,1
"Lu Xiangyang",9.1,China,"automobiles, batteries",256,58,"Guangzhou, China",China,Married,NULL,NULL,1
"Wolfgang Marguerre & family",9.1,Germany,pharmaceutical,256,79,"Heidelberg, Germany",Germany,Married,3,NULL,1
"Guillaume Pousaz",9,Switzerland,fintech,262,39,NULL,Switzerland,Married,3,NULL,1
"Tse Ping",8.9,China,pharmaceutical,264,69,"Hong Kong, Hong Kong",China,Married,NULL,NULL,1
"Xavier Niel",8.8,France,"internet, telecom",269,53,"Paris, France",France,Single,3,NULL,1
"Zong Qinghou",8.8,China,beverages,269,75,"Hangzhou, China",China,Married,1,NULL,1
"Cheng Xue",8.7,China,"soy sauce",274,51,"Foshan, China",China,NULL,NULL,NULL,1
"Graeme Hart",8.7,"New Zealand",investments,274,65,"Auckland, New Zealand","New Zealand",Married,2,NULL,1
"Shigenobu Nagamori",8.7,Japan,motors,274,76,"Kyoto, Japan",Japan,Married,2,NULL,1
"Xu Shihui",8.7,China,"snacks, beverages",274,63,"Quanzhou, China",China,Married,NULL,NULL,1
"Kei Hoi Pang",7.8,China,"real estate",316,55,"Hong Kong, Hong Kong",China,NULL,NULL,NULL,1
"David Reuben",7.7,"United Kingdom","investments, real estate",323,82,"London, United Kingdom","United Kingdom",Married,1,NULL,1
"Pei Zhenhua",7.5,China,batteries,334,62,"Ningde, China",China,NULL,NULL,NULL,1
"Ruan Liping",7.5,"Hong Kong","power strips",334,57,"Ningbo, China","Hong Kong",NULL,NULL,NULL,1
"Ruan Xueping",7.5,"Hong Kong","power strip",334,49,"Ningbo, China","Hong Kong",NULL,NULL,NULL,1
"Lai Meisong",7.3,China,"package delivery",344,50,"Shanghai, China",China,NULL,NULL,NULL,1
"Pham Nhat Vuong",7.3,Vietnam,diversified,344,52,"Hanoi, Vietnam",Vietnam,Married,3,NULL,1
"Manuel Villar",7.2,Philippines,"real estate",352,71,"Manila, Philippines",Philippines,Married,3,NULL,1
"Johann Graf",7.1,Austria,gambling,358,74,"Vienna, Austria",Austria,Divorced,3,NULL,1
"Li Hua",7.1,China,"financial services",358,43,"Shenzhen, China",China,NULL,NULL,NULL,1
"Stewart and Lynda Resnick",7.1,"United States","agriculture, water",358,NULL,"Beverly Hills, California","United States",Married,5,NULL,1
"Murali Divi & family",6.8,India,pharmaceutical,384,70,"Hyderabad, India",India,Married,2,NULL,1
